,Unnamed: 0,Unnamed: 0.1,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Net Income,25010000000.0,34630000000.0,20551000000.0,21744000000.0,23630000000.0,28755000000.0,12673000000.0,11253000000.0,11249000000.0,22236000000.0,13686000000.0,10044000000.0,11561000000.0,19965000000.0,14125000000.0,11519000000.0,13822000000.0,20065000000.0,10714000000.0,8717000000.0,11029000000.0,17891000000.0,9014000000.0,7796000000.0,10516000000.0,18361000000.0,11124000000.0,10677000000.0,13569000000.0,18024000000.0,8467000000.0,7748000000.0,10223000000.0,13072000000.0,7512000000.0,6900000000.0,9547000000.0,13078000000.0,8223000000.0
1,1,Depreciation & Amortization,2737000000.0,2697000000.0,2989000000.0,2832000000.0,2797000000.0,2666000000.0,2702000000.0,2752000000.0,2786000000.0,2816000000.0,3179000000.0,2933000000.0,3040000000.0,3395000000.0,2754000000.0,2665000000.0,2739000000.0,2745000000.0,2484000000.0,2354000000.0,2332000000.0,2987000000.0,2548000000.0,2526000000.0,2477000000.0,2954000000.0,3119000000.0,3084000000.0,2479000000.0,2575000000.0,1969000000.0,1946000000.0,1887000000.0,2144000000.0,1783000000.0,1694000000.0,1692000000.0,1588000000.0,981000000.0
2,2,Non Cash Items (Other),2471000000.0,3114000000.0,-1550000000.0,1215000000.0,1333000000.0,1987000000.0,1324000000.0,2696000000.0,1278000000.0,1219000000.0,885000000.0,1457000000.0,1176000000.0,1558000000.0,1830000000.0,2218000000.0,710000000.0,-32452000000.0,2352000000.0,3202000000.0,2652000000.0,2434000000.0,844000000.0,3264000000.0,2746000000.0,2780000000.0,-138000000.0,1797000000.0,609000000.0,3085000000.0,-45000000.0,1819000000.0,1502000000.0,1934000000.0,-828000000.0,1145000000.0,1353000000.0,1724000000.0,787000000.0
3,3,Accounts Receivable Change,19931000000.0,-13746000000.0,-17604000000.0,-869000000.0,25584000000.0,-10945000000.0,1768000000.0,-2135000000.0,5269000000.0,2015000000.0,-8768000000.0,919000000.0,2964000000.0,5130000000.0,-9078000000.0,233000000.0,9093000000.0,-5570000000.0,-5474000000.0,-802000000.0,2486000000.0,1697000000.0,-4096000000.0,85000000.0,642000000.0,3896000000.0,-6673000000.0,535000000.0,5804000000.0,751000000.0,-6546000000.0,-1087000000.0,4499000000.0,-1098000000.0,-4263000000.0,-1755000000.0,4514000000.0,-668000000.0,-3273000000.0
4,4,Change in inventories,384000000.0,681000000.0,-1429000000.0,13000000.0,-276000000.0,-950000000.0,-137000000.0,-689000000.0,727000000.0,-28000000.0,-785000000.0,1502000000.0,70000000.0,-1076000000.0,1942000000.0,1693000000.0,-3241000000.0,434000000.0,-1709000000.0,-236000000.0,-198000000.0,-580000000.0,-301000000.0,450000000.0,170000000.0,-102000000.0,-307000000.0,354000000.0,-113000000.0,-172000000.0,-246000000.0,235000000.0,293000000.0,-358000000.0,-67000000.0,-452000000.0,210000000.0,-664000000.0,331000000.0
5,5,Accounts Payable Change,-21563000000.0,19813000000.0,14112000000.0,211000000.0,-23667000000.0,21670000000.0,6725000000.0,2733000000.0,-12431000000.0,-1089000000.0,17881000000.0,220000000.0,-11523000000.0,-8501000000.0,19585000000.0,1594000000.0,-24606000000.0,12602000000.0,14178000000.0,1650000000.0,-9322000000.0,2460000000.0,11684000000.0,-179000000.0,-8536000000.0,-852000000.0,8264000000.0,2165000000.0,-14431000000.0,9003000000.0,8469000000.0,-156000000.0,-10566000000.0,8191000000.0,7080000000.0,-318000000.0,-10567000000.0,6145000000.0,2017000000.0
6,6,Change in payables and accrued liability,-21563000000.0,19813000000.0,14112000000.0,211000000.0,-23667000000.0,21670000000.0,6725000000.0,2733000000.0,-12431000000.0,44022000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Change in other assets and liabilities,-398000000.0,459000000.0,-906000000.0,-4582000000.0,-5569000000.0,-4420000000.0,-4479000000.0,-339000000.0,4433000000.0,3347000000.0,-6168000000.0,-5439000000.0,3867000000.0,6219000000.0,-11635000000.0,-5434000000.0,16613000000.0,30469000000.0,-6796000000.0,-6213000000.0,3591000000.0,345000000.0,-3160000000.0,-3308000000.0,3586000000.0,426000000.0,-1914000000.0,-3624000000.0,11164000000.0,456000000.0,1182000000.0,-250000000.0,5700000000.0,-1215000000.0,-1309000000.0,614000000.0,5755000000.0,2223000000.0,70000000.0
8,8,Operating Cash Flow,28166000000.0,46966000000.0,20200000000.0,21094000000.0,23981000000.0,38763000000.0,20576000000.0,16271000000.0,13311000000.0,30516000000.0,19910000000.0,11636000000.0,11155000000.0,26690000000.0,19523000000.0,14488000000.0,15130000000.0,28293000000.0,15749000000.0,8672000000.0,12570000000.0,27234000000.0,16533000000.0,10634000000.0,11601000000.0,27463000000.0,13475000000.0,14988000000.0,19081000000.0,33722000000.0,13250000000.0,10255000000.0,13538000000.0,22670000000.0,9908000000.0,7828000000.0,12504000000.0,23426000000.0,9136000000.0
9,9,Capital expenditures,-2514000000.0,-2803000000.0,-3223000000.0,-2093000000.0,-2269000000.0,-3500000000.0,-1784000000.0,-1565000000.0,-1853000000.0,-2107000000.0,-2777000000.0,-2000000000.0,-2363000000.0,-3355000000.0,-3041000000.0,-3267000000.0,-4195000000.0,-2810000000.0,-3865000000.0,-2277000000.0,-2975000000.0,-3334000000.0,-3977000000.0,-2809000000.0,-2336000000.0,-3612000000.0,-3618000000.0,-2043000000.0,-2369000000.0,-3217000000.0,-3826000000.0,-2378000000.0,-1382000000.0,-1985000000.0,-1955000000.0,-1885000000.0,-2008000000.0,-2317000000.0,-3461000000.0
