,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Net Income,160000000.0,-1219000000.0,-4143000000.0,-109000000.0,587000000.0,-537000000.0,-8439000000.0,-466000000.0,-2395000000.0,-641000000.0,-1010000000.0,1167000000.0,-2942000000.0,2149000000.0,3424000000.0,2363000000.0,2196000000.0,2477000000.0,3320000000.0,1810000000.0,1749000000.0,1579000000.0,1770000000.0,2279000000.0,-234000000.0,1219000000.0,1026000000.0,1704000000.0,1110000000.0,1336000000.0,1466000000.0,1362000000.0,1653000000.0,965000000.0,1233000000.0,1158000000.0,1088000000.0,1106000000.0,978000000.0,1032000000.0
1,1,Depreciation & Amortization,498000000.0,486000000.0,534000000.0,523000000.0,551000000.0,536000000.0,578000000.0,565000000.0,547000000.0,556000000.0,628000000.0,576000000.0,546000000.0,521000000.0,583000000.0,523000000.0,507000000.0,501000000.0,577000000.0,514000000.0,488000000.0,468000000.0,525000000.0,474000000.0,447000000.0,443000000.0,484000000.0,437000000.0,453000000.0,459000000.0,528000000.0,478000000.0,452000000.0,448000000.0,521000000.0,458000000.0,436000000.0,429000000.0,498000000.0,465000000.0
2,2,Non Cash Items (Other),510000000.0,826000000.0,4375000000.0,289000000.0,367000000.0,676000000.0,7414000000.0,79000000.0,1003000000.0,124000000.0,139000000.0,141000000.0,-28000000.0,296000000.0,172000000.0,47000000.0,125000000.0,120000000.0,163000000.0,142000000.0,148000000.0,136000000.0,222000000.0,136000000.0,131000000.0,162000000.0,206000000.0,175000000.0,150000000.0,28000000.0,304000000.0,206000000.0,63000000.0,36000000.0,543000000.0,40000000.0,0.0,89000000.0,190000000.0,258000000.0
3,3,Accounts Receivable Change,-587000000.0,-101000000.0,1031000000.0,-473000000.0,-509000000.0,-1138000000.0,784000000.0,-18000000.0,197000000.0,-54000000.0,288000000.0,-273000000.0,382000000.0,206000000.0,-805000000.0,-52000000.0,-30000000.0,92000000.0,-282000000.0,-395000000.0,101000000.0,-264000000.0,843000000.0,-14000000.0,499000000.0,-1002000000.0,133000000.0,-889000000.0,76000000.0,-389000000.0,57000000.0,-99000000.0,-494000000.0,-792000000.0,127000000.0,-456000000.0,-113000000.0,-437000000.0,-177000000.0,460000000.0
4,4,Change in inventories,-57000000.0,-1725000000.0,89000000.0,625000000.0,923000000.0,-259000000.0,-1349000000.0,-2912000000.0,-3768000000.0,-2973000000.0,-2826000000.0,-4332000000.0,-2508000000.0,-2725000000.0,741000000.0,-581000000.0,125000000.0,283000000.0,-603000000.0,236000000.0,455000000.0,-1491000000.0,-330000000.0,1330000000.0,3060000000.0,-56000000.0,1076000000.0,209000000.0,-573000000.0,-1822000000.0,95000000.0,-1023000000.0,-1353000000.0,-2049000000.0,-1931000000.0,-1017000000.0,386000000.0,-3000000000.0,-1093000000.0,-1851000000.0
5,5,Accounts Payable Change,764000000.0,-369000000.0,-218000000.0,-1530000000.0,-1216000000.0,-819000000.0,-2060000000.0,-122000000.0,-2151000000.0,-1030000000.0,-26000000.0,-376000000.0,378000000.0,1624000000.0,-1179000000.0,499000000.0,91000000.0,591000000.0,-650000000.0,361000000.0,-197000000.0,616000000.0,-744000000.0,145000000.0,261000000.0,960000000.0,-1296000000.0,170000000.0,40000000.0,848000000.0,-480000000.0,36000000.0,433000000.0,1350000000.0,-1241000000.0,95000000.0,194000000.0,654000000.0,342000000.0,115000000.0
6,6,Change in payables and accrued liability,-241000000.0,-369000000.0,-218000000.0,-1530000000.0,-1216000000.0,-819000000.0,107000000.0,453000000.0,1097000000.0,-583000000.0,2286000000.0,536000000.0,5878000000.0,-919000000.0,227000000.0,1812000000.0,415000000.0,-1337000000.0,437000000.0,468000000.0,-288000000.0,-282000000.0,230000000.0,351000000.0,198000000.0,-467000000.0,198000000.0,-19000000.0,723000000.0,-900000000.0,-34000000.0,-141000000.0,472000000.0,-1385000000.0,1221000000.0,344000000.0,451000000.0,-1133000000.0,924000000.0,471000000.0
7,7,Income tax paid,165000000.0,-403000000.0,-278000000.0,1141000000.0,-96000000.0,-34000000.0,-172000000.0,-510000000.0,-1002000000.0,-892000000.0,-1487000000.0,-68000000.0,-1037000000.0,116000000.0,72000000.0,-521000000.0,-79000000.0,348000000.0,-851000000.0,733000000.0,222000000.0,552000000.0,-9000000.0,-231000000.0,-767000000.0,273000000.0,-347000000.0,342000000.0,39000000.0,443000000.0,438000000.0,493000000.0,-61000000.0,455000000.0,109000000.0,728000000.0,394000000.0,214000000.0,520000000.0,380000000.0
8,8,Change in other assets and liabilities,-1131000000.0,-497000000.0,-412000000.0,991000000.0,-168000000.0,-207000000.0,-872000000.0,-1888000000.0,1192000000.0,1191000000.0,-212000000.0,205000000.0,-1259000000.0,1520000000.0,-288000000.0,469000000.0,1330000000.0,61000000.0,792000000.0,-473000000.0,2271000000.0,784000000.0,322000000.0,-1268000000.0,-405000000.0,-257000000.0,1639000000.0,730000000.0,1279000000.0,85000000.0,2624000000.0,-373000000.0,644000000.0,2084000000.0,798000000.0,1458000000.0,631000000.0,2602000000.0,1985000000.0,266000000.0
9,9,Operating Cash Flow,81000000.0,-3216000000.0,716000000.0,-262000000.0,-483000000.0,-3387000000.0,-4009000000.0,-4819000000.0,-5280000000.0,-4302000000.0,-2220000000.0,-2424000000.0,-590000000.0,2788000000.0,2947000000.0,4559000000.0,4680000000.0,3136000000.0,2903000000.0,3396000000.0,4949000000.0,2098000000.0,2829000000.0,3202000000.0,3190000000.0,1275000000.0,3119000000.0,2859000000.0,3297000000.0,88000000.0,4998000000.0,939000000.0,1809000000.0,1112000000.0,1380000000.0,2808000000.0,3467000000.0,524000000.0,4167000000.0,1596000000.0
